fecha_estimacion,fecha,nuevos_mu_10,nuevos_mu_50,nuevos_mu_90,acum_mu_10,acum_mu_50,acum_mu_90,nuevos_obs_10,nuevos_obs_50,nuevos_obs_90,acum_obs_10,acum_obs_50,acum_obs_90
2020-11-27,2020-04-26,1944.3172596190557,2189.0127063157315,2454.313893197894,29522.634695800407,31372.133426670553,33333.16009203293,1679,2176.5,2679,29118,31341.5,33601
2020-11-27,2020-04-27,2065.843173695136,2347.890738197446,2636.8176843916453,31653.032159810555,33706.39723399933,35989.49898835225,1777,2316,2840,31338,33699.5,36367
2020-11-27,2020-04-28,2208.102820338229,2516.472132695032,2848.750235951135,33841.80175376298,36220.93735706025,38779.89539563928,1896,2493.5,3070,33242,36226,38938
2020-11-27,2020-04-29,2352.229820892702,2697.7671021346905,3069.590751789927,36183.82830394119,38930.85375424652,41828.93652266725,2003,2660,3221,35948,38855,42354
2020-11-27,2020-04-30,2500.85585769998,2891.866666629626,3305.4033828749666,38736.462512371785,41837.871242106106,45156.899192006415,2220,2854,3574,38154,41788,45318
2020-11-27,2020-05-01,2638.086144286699,3099.409121885913,3534.6108674209513,41481.457207236854,44940.845583954404,48768.28797805673,2336,3062.5,3840,40987,44888,49082
2020-11-27,2020-05-02,2820.4406294628848,3322.7858080802107,3819.021115140438,44376.94647596689,48265.16235134387,52681.81869794178,2460,3283,4096,43854,48201,52946
2020-11-27,2020-05-03,3002.825583514377,3562.0828285841903,4113.803107723693,46572.54811707853,51824.7312344976,55956.48924346714,2595,3525,4357,47127,51724.5,57263
2020-11-27,2020-05-04,3159.3571829579955,3818.5482788728855,4395.123852134126,50788.612043494424,55634.898315223014,61375.49296934669,2815,3741.5,4673,50148,55539,61467
2020-11-27,2020-05-05,3350.302668528282,4095.813307540463,4718.839072194336,54103.302813182905,59728.62605856624,66000.9841198068,2982,4048.5,5085,53412,59623,66095
2020-11-27,2020-05-06,3591.089509589173,4389.105457778429,5106.327482476632,57824.42856596204,64162.23931320125,71197.4526824609,3118,4335,5405,57037,63978,71212
2020-11-27,2020-05-07,3819.5106880361677,4702.497796221731,5495.129745604677,61449.56156730821,68860.72221886987,76516.91457785176,3331,4638.5,5737,61333,68676.5,77042
2020-11-27,2020-05-08,4063.127357524204,5042.209703045991,5913.702476975088,65653.49858820291,73885.72417243918,82485.61312311661,3589,4984,6206,65306,73837,82925
2020-11-27,2020-05-09,4323.029574061704,5402.9863182745285,6367.493903624301,70114.24631837239,79303.5907701161,88943.13536981122,3847,5333.5,6669,69896,79213,89495
2020-11-27,2020-05-10,4618.228249314111,5790.222942217999,6874.752411554353,74857.60234460421,85103.9697864851,95986.86968392992,4111,5728,7246,73091,85025.5,95047
