fecha,casos_acumulados,estimado,tipo,modelo,fecha_estimacion
2020-04-03,51706,CoronaMex,simulacion,m2,2020-05-05
2020-04-04,56601,CoronaMex,simulacion,m2,2020-05-05
2020-04-05,61905,CoronaMex,simulacion,m2,2020-05-05
2020-04-06,67650,CoronaMex,simulacion,m2,2020-05-05
2020-04-07,73875,CoronaMex,simulacion,m2,2020-05-05
2020-04-08,80619,CoronaMex,simulacion,m2,2020-05-05
2020-04-09,87926,CoronaMex,simulacion,m2,2020-05-05
2020-04-10,95842,CoronaMex,simulacion,m2,2020-05-05
2020-04-11,104448,CoronaMex,simulacion,m2,2020-05-05
2020-04-12,113453,CoronaMex,simulacion,m2,2020-05-05
2020-04-13,122705,CoronaMex,simulacion,m2,2020-05-05
2020-04-14,132254,CoronaMex,simulacion,m2,2020-05-05
2020-04-15,142130,CoronaMex,simulacion,m2,2020-05-05
2020-04-16,152356,CoronaMex,simulacion,m2,2020-05-05
2020-04-17,162948,CoronaMex,simulacion,m2,2020-05-05
2020-04-18,173922,CoronaMex,simulacion,m2,2020-05-05
2020-04-19,185292,CoronaMex,simulacion,m2,2020-05-05
2020-04-20,197072,CoronaMex,simulacion,m2,2020-05-05
2020-04-21,209279,CoronaMex,simulacion,m2,2020-05-05
2020-04-22,221924,CoronaMex,simulacion,m2,2020-05-05
2020-04-23,235031,CoronaMex,simulacion,m2,2020-05-05
2020-04-24,248606,CoronaMex,simulacion,m2,2020-05-05
2020-04-25,262672,CoronaMex,simulacion,m2,2020-05-05
2020-04-26,277244,CoronaMex,simulacion,m2,2020-05-05
2020-04-27,292342,CoronaMex,simulacion,m2,2020-05-05
2020-04-28,307982,CoronaMex,simulacion,m2,2020-05-05
2020-04-29,324186,CoronaMex,simulacion,m2,2020-05-05
2020-04-30,340972,CoronaMex,simulacion,m2,2020-05-05
2020-05-01,358361,CoronaMex,simulacion,m2,2020-05-05
2020-05-02,376374,CoronaMex,simulacion,m2,2020-05-05
2020-05-03,395033,CoronaMex,simulacion,m2,2020-05-05
2020-05-04,414361,CoronaMex,simulacion,m2,2020-05-05
2020-05-05,434381,CoronaMex,simulacion,m2,2020-05-05
2020-02-15,19,CoronaMex,simulacion,m3,2020-05-05
2020-02-16,21,CoronaMex,simulacion,m3,2020-05-05
2020-02-17,26,CoronaMex,simulacion,m3,2020-05-05
2020-02-18,33,CoronaMex,simulacion,m3,2020-05-05
2020-02-19,42,CoronaMex,simulacion,m3,2020-05-05
2020-02-20,53,CoronaMex,simulacion,m3,2020-05-05
2020-02-21,67,CoronaMex,simulacion,m3,2020-05-05
2020-02-22,84,CoronaMex,simulacion,m3,2020-05-05
2020-02-23,104,CoronaMex,simulacion,m3,2020-05-05
2020-02-24,130,CoronaMex,simulacion,m3,2020-05-05
2020-02-25,161,CoronaMex,simulacion,m3,2020-05-05
2020-02-26,198,CoronaMex,simulacion,m3,2020-05-05
2020-02-27,245,CoronaMex,simulacion,m3,2020-05-05
2020-02-28,301,CoronaMex,simulacion,m3,2020-05-05
2020-02-29,371,CoronaMex,simulacion,m3,2020-05-05
2020-03-01,455,CoronaMex,simulacion,m3,2020-05-05
2020-03-02,559,CoronaMex,simulacion,m3,2020-05-05
2020-03-03,684,CoronaMex,simulacion,m3,2020-05-05
2020-03-04,836,CoronaMex,simulacion,m3,2020-05-05
2020-03-05,1018,CoronaMex,simulacion,m3,2020-05-05
2020-03-06,1237,CoronaMex,simulacion,m3,2020-05-05
2020-03-07,1501,CoronaMex,simulacion,m3,2020-05-05
